Text,signal_strength,signal_norm,semantic_function,signal_combined
онтологическая геометрия,0.788,0.16666666666666785,шум,0.0
"Как я вас, заголовком? Потужно, не? 
Ну а шо, мне одному страдать?",0.799,0.29761904761904745,юмор / ирония / сарказм,0.29761904761904745
"В общем, дальше для специалистов будет смешное, для нас, дятлов и чайников — ликбез.",0.802,0.3333333333333339,юмор / ирония / сарказм,0.3333333333333339
"(Это в основном про меня, если что. 
Я это всё пишу себе , чтобы уложить в голове. Ну и вы полистаете, если интересно. 
Если в комменты занесёт кого-то взрослого — не бросайте в меня тапочком, пожалуйста. 
Я, как в том анекдоте: «не настоящий сварщик, я так, на стройке маску нашёл».)",0.813,0.4642857142857135,лирическое отступление,0.4642857142857135
"Так. О страшных словах, которыми оперируют Лелик и Болик, а также время от времени разные инфо-цыгане, которые пишут о нейросетях.",0.805,0.3690476190476204,раскрытие темы,0.5535714285714306
"Токены.
Токены-токены-токены — все пишут о каких-то токенах, в них измеряют длину контекстного окна, а чем оно длиннее, говорят, тем лучше. (Кто б сомневался, ага.) Но об этом позже.",0.814,0.4761904761904763,раскрытие темы,0.7142857142857144
"Токен — часть текста. Обчыно - меньше слова. Помнишь, как в детстве: ма-ма мы-ла ра-му. Что-то вроде этого — каждое слово разбивается на токены.",0.846,0.8571428571428577,пояснение на примере,1.071428571428572
"Насколько я вкурил, токенами могут быть как слова целиком, так и их части, и даже знаки препинания. В общем, токен — это минимальная удобная для модели единица текста.",0.837,0.75,раскрытие темы,1.125
"Нафига? Для сжатия.
Гаврюша (эти все “нейросеть”, “большая языковая модель”, писать каждый раз целиком неудобно, а “ии” — как-то тупо) настоящими словами, чтоб вы понимали, вообще не пользуется.",0.807,0.3928571428571441,раскрытие темы,0.5892857142857162
"Она в основном оперирует токенами и их эмбедингами.
Вставай, вставай, @имярек, ну да.
Эмбединг.
Не ссы. Это мы ещё в этот лес вообще не вошли, так на пороге тусим.
Так, я сразу оговорюсь: я довольно тупой человек, и мне больно учиться. 
Поэтому, как работает современная гаврюша, я не знаю и даже не собираюсь туда лезть. Мне надо понять, как на этой машинке доехать из пункта А в пункт Б. Так что придётся выяснить, что такое руль и педали. А что там под капотом — пока не будем трогать.",0.858,1.0,раскрытие темы,1.5
"Едем дальше. 
Эмбединг, значит.",0.803,0.3452380952380949,связующий переход,0.3452380952380949
"Представь себе указатель: «Лондон — 100 км».
Это вектор. Одномерный. С длиной.
В смысле того, что он работает в одном направлении, то есть в одном измерении — туда, 100 км вдоль его стрелки.
То есть мы бы так и записали Лондон (100).",0.796,0.26190476190476275,метафора / аналогия,0.26190476190476275
"Дальше. Повесим его на столб, пусть ещё указывает не только как далеко, но и где этот вектор в координатах север-юг, восток-запад. Например, 100 км на север и 50 на запад.
Хоба. Он уже двумерный.
И мы бы записали: Лондон (100, 50). 
Наша вся география, как вы помните из школы, помещается во всего-навсего два измерения.",0.774,0.0,метафора / аналогия,0.0
"Теперь усложним задачу: пусть нам не просто надо добраться до точки на карте, а еще и определиться с высотой. Как с доставкой на этаж. Представь похожий указатель, который висит на столбе и показывает на Гришино окно на пятом этаже. Это уже три измерения: туда-сюда и вверх. 
И мы бы записали Григорий: 35 метров туда, 35 сюда, 5 этадей вверх. 
(35,35,5).Три измерения.",0.784,0.11904761904761862,метафора / аналогия,0.11904761904761862
"Дальше ты должен налить себе на два пальца и представить, что этих измерений больше трёх.
На трезвую голову это упражнение могут исполнить только наркоманы и учащиеся факультета прикладной математики.
И то… Впрочем, о пересекающихся множествах мы поговорим сильно позже. Если доживём.",0.78,0.07142857142857117,метафора / аналогия,0.07142857142857117
"Но я помогу: представь, что тебе надо доставить посылку Гришеному младшему, причем завтра, в 15.30, после школы. 
Берем, стало быть, географические координаты предположим (35,35), добавим этаж (5), добавим кому из семьи выдать - младшему, пусть он будет первым по счету в семье, пишем (1), и когда (15:30). 
Итого: посылка младшему должна прибыть в (35,35,5,1,15:30)",0.783,0.10714285714285765,метафора / аналогия,0.10714285714285765
